models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
gru+lstm+rf+cnn_lstm,4,0.615721,0.174074,0.271415,0.512399,282,176,1309,1338
cnn+gru+lstm+xgb,4,0.614391,0.205556,0.308048,0.518196,333,209,1276,1287
catboost+gru+lgbm+cnn_lstm,4,0.614,0.189506,0.289623,0.514976,307,193,1292,1313
cnn+gru+lstm+rf,4,0.613828,0.224691,0.328965,0.521739,364,229,1256,1256
gru+lgbm+rf+cnn_lstm,4,0.612981,0.157407,0.250491,0.508535,255,161,1324,1365
gru+lgbm+lstm+rf,4,0.611307,0.21358,0.31656,0.518841,346,220,1265,1274
catboost+gru+lgbm+lstm,4,0.611285,0.240741,0.345438,0.523994,390,248,1237,1230
catboost+gru+lgbm+rf,4,0.608215,0.237654,0.341767,0.522383,385,248,1237,1235
catboost+gru+lstm+cnn_lstm,4,0.608084,0.21358,0.316126,0.517874,346,223,1262,1274
catboost+gru+rf+cnn_lstm,4,0.607018,0.21358,0.315982,0.517552,346,224,1261,1274
gru+logreg+xgb+cnn_lstm,4,0.60687,0.196296,0.296642,0.514332,318,206,1279,1302
gru+lgbm+xgb+cnn_lstm,4,0.606635,0.158025,0.250735,0.507246,256,166,1319,1364
catboost+cnn+gru+lstm+xgb+cnn_lstm,6,0.606577,0.307407,0.408029,0.534622,498,323,1162,1122
catboost+cnn+gru+lgbm+rf+cnn_lstm,6,0.606258,0.287037,0.38961,0.530757,465,302,1183,1155
catboost+gru+lgbm+lstm+rf+cnn_lstm,6,0.606178,0.290741,0.392991,0.531401,471,306,1179,1149
catboost+gru+lstm+rf,4,0.606142,0.280247,0.383284,0.529469,454,295,1190,1166
gru+lgbm+logreg+lstm,4,0.605422,0.248148,0.352014,0.523349,402,262,1223,1218
catboost+cnn+gru+lstm+rf+cnn_lstm,6,0.605418,0.317284,0.416363,0.53591,514,335,1150,1106
catboost+gru+lgbm+logreg,4,0.605405,0.276543,0.379661,0.528502,448,292,1193,1172
gru+lgbm+logreg+cnn_lstm,4,0.604962,0.195679,0.295709,0.513688,317,207,1278,1303
cnn+gru+lgbm+rf,4,0.604607,0.194444,0.294255,0.513366,315,206,1279,1305
