models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
gru+lgbm,2,0.6375,0.031481,0.06,0.485346,51,29,1456,1569
gru+rf+tcn,3,0.631222,0.172222,0.270611,0.51562,279,163,1322,1341
gru+lgbm+tcn,3,0.630435,0.035802,0.067757,0.48599,58,34,1451,1562
gru+rf,2,0.62877,0.167284,0.264261,0.51401,271,160,1325,1349
catboost+gru+lgbm+tcn,4,0.625,0.098765,0.170576,0.498873,160,96,1389,1460
catboost+gru+lgbm+lstm,4,0.624464,0.17963,0.279003,0.51562,291,175,1310,1329
catboost+gru+lgbm+lstm+tcn,5,0.62395,0.183333,0.283397,0.516264,297,179,1306,1323
catboost+gru+rf,3,0.619863,0.223457,0.328494,0.523349,362,222,1263,1258
catboost+gru+lgbm,3,0.619433,0.094444,0.163899,0.497262,153,94,1391,1467
gru+lgbm+rf,3,0.619342,0.185802,0.28585,0.51562,301,185,1300,1319
gru+lgbm+lstm,3,0.618384,0.137037,0.224356,0.505636,222,137,1348,1398
gru+lstm,2,0.617544,0.108642,0.184777,0.499839,176,109,1376,1444
catboost+gru+rf+tcn,4,0.61745,0.22716,0.33213,0.523349,368,228,1257,1252
catboost+gru+lstm+tcn,4,0.617284,0.154321,0.246914,0.508857,250,155,1330,1370
gru+lgbm+rf+tcn+cnn_lstm,5,0.616788,0.208642,0.311808,0.519485,338,210,1275,1282
gru+rf+cnn_lstm,3,0.616183,0.183333,0.282588,0.514332,297,185,1300,1323
gru+xgb+cnn_lstm,3,0.616016,0.185185,0.284765,0.514654,300,187,1298,1320
gru+lgbm+lstm+tcn,4,0.615385,0.138272,0.225806,0.505314,224,140,1345,1396
gru+rf+tcn+cnn_lstm,4,0.61523,0.189506,0.289759,0.515298,307,192,1293,1313
gru+lgbm+lstm+rf+cnn_lstm,5,0.614897,0.239506,0.344736,0.52496,388,243,1242,1232
catboost+gru+lgbm+rf+cnn_lstm,5,0.614792,0.246296,0.351697,0.526248,399,250,1235,1221
catboost+gru+lstm+rf+tcn,5,0.614221,0.250617,0.355984,0.526892,406,255,1230,1214
gru+lgbm+rf+tcn,4,0.613682,0.188272,0.288144,0.514654,305,192,1293,1315
gru+lgbm+rf+cnn_lstm,4,0.613636,0.2,0.301676,0.516908,324,204,1281,1296
catboost+gru+lgbm+lstm+rf+tcn,6,0.613433,0.253704,0.358952,0.527214,411,259,1226,1209
catboost+gru+lstm+rf,4,0.612903,0.246296,0.351387,0.525604,399,252,1233,1221
catboost+gru+lstm,3,0.612658,0.149383,0.240199,0.506924,242,153,1332,1378
gru+lgbm+lstm+rf+tcn+cnn_lstm,6,0.6125,0.241975,0.346903,0.524638,392,248,1237,1228
catboost+gru+lgbm+rf+tcn+cnn_lstm,6,0.612462,0.248765,0.353819,0.525926,403,255,1230,1217
gru+xgb,2,0.611872,0.165432,0.260447,0.509823,268,170,1315,1352
catboost+gru+lgbm+lstm+rf+cnn_lstm,6,0.611189,0.269753,0.374304,0.529469,437,278,1207,1183
