,DNN:dnn_grad,DNN:dnn_perm,LightGBM:lgb_split,LightGBM:lgb_gain,LightGBM:lgb_perm,LightGBM:lgb_shap,LogReg_L1:lr_l1_coef,LogReg_L1:lr_l1_perm,LogReg_L2:lr_l2_coef,LogReg_L2:lr_l2_perm,RandomForest:rf_gini,RandomForest:rf_perm,RandomForest:rf_shap,XGBoost:xgb_weight,XGBoost:xgb_gain,XGBoost:xgb_cover,XGBoost:xgb_perm,XGBoost:xgb_shap
close,0.008679623,0.0004826188087463,76,310.7833262681961,0.0,0.0198407199129772,0.0,0.0,0.1120472243245911,-0.0017696267696267,0.0244617718455552,-0.0004826254826254,0.0016808047033483,0.0,0.0,0.0,0.0006435006435006,0.026183223
volume,0.012475062,0.0024131536483764,380,1818.5783206522465,0.0012870012870013,0.0918182168965761,0.0269802566740876,0.0040218790218789,0.0575061969511931,0.0024131274131274,0.0387968410304689,0.0024131274131273,0.0029004384068703,0.0,0.0,0.0,0.0024131274131274,0.111614525
EMA_7,0.008622771,0.0009652972221374,36,167.94799876213074,-0.0003217503217503,0.0069487391809806,0.0,0.0,0.2212586774036923,-0.0004826254826254,0.0240524619071805,0.0003217503217503,0.0009813526662271,0.0,0.0,0.0,-0.0024131274131274,0.03735833
EMA_21,0.010880643,0.0033783912658691,47,225.7946797609329,0.0,0.0249286231445905,0.0,0.0,0.4997034173553831,0.0117438867438868,0.023948276415452,0.0003217503217503,0.0008106275893109,0.0,0.0,0.0,0.0,0.03203758
SMA_20,0.008639352,0.0028957724571228,56,252.07371625304225,0.0,0.0078366906813856,0.0317273415148851,0.0009652509652509,0.423128985111739,0.0070785070785071,0.0243176057696207,0.0003217503217502,0.0026839414839492,0.0,0.0,0.0,0.0,0.018314926
SMA_50,0.007875894,0.0033783912658691,58,261.87281692028046,0.0,0.0103725324271962,0.0,0.0,0.0132027895098955,-0.0017696267696267,0.0239539087684068,-3.7007434154171876e-17,0.0011820977926134,0.0,0.0,0.0,0.0,0.06420559
RSI,0.0096605765,0.0111004114151,449,2055.3685878515244,-0.0022522522522522,0.0946203395136964,0.0937262058488147,0.003056628056628,0.1058162488490785,0.0032175032175032,0.0362689175494677,0.0037001287001286,0.0024436466855483,0.0,0.0,0.0,-0.0048262548262548,0.10543772
MACD_histogram,0.017123174,-0.001447856426239,323,1506.7744489014149,0.0091698841698841,0.09103919229081,0.0503611025343122,-0.0017696267696268,0.0308343717083922,-0.0041827541827541,0.0340261387538325,-0.0017696267696268,0.0039331188341059,0.0,0.0,0.0,-0.0037001287001287,0.08152875
OBV,0.01042239,0.0009652972221374,234,1147.054492175579,0.0028957528957529,0.1066135547219789,0.0495496575144057,0.0003217503217502,0.0506966781942668,0.0003217503217503,0.0314597779341012,0.0,0.0031285664626731,0.0,0.0,0.0,-0.0008043758043758,0.12977964
bollinger_width,0.009097462,0.0048262476921081,299,1422.4258386194706,0.005952380952381,0.0676159856130129,0.0284752055060056,-0.0003217503217503,0.031813608580911,-0.0033783783783783,0.0340967691962336,0.0028957528957528,0.0015409149999097,0.0,0.0,0.0,-0.0067567567567567,0.046099443
