,0
roc_4h,4277.518511176109
buying_pressure,4142.303534269333
atr_ratio,3538.807409644127
volume,3374.4172337055206
stoch_%K,3307.792980194092
adx,3101.4536345005035
volume_ratio,2950.1792203187943
true_range,2833.463310599327
fear_greed_score,2799.9430568814278
volume_mean_20,2789.506153523922
rsi_4h,2747.297548532486
roc_24h,2579.674557864666
stoch_%D,2547.5738812685013
MACD_histogram,2415.501563310623
CCI,2316.8114871382713
RSI,2214.0615704655647
OBV,2180.1795983314514
parkinson_vol,2147.816640019417
price_vs_vwap,2108.2384073138237
bollinger_width,1879.3350083231926
atr_14,1836.300746500492
bb_position,1629.579784810543
support_level,645.8979051709175
close,527.6971684098244
resistance_level,513.9176944494247
close_4h,490.6091616153717
bollinger_upper,429.8487374782562
bollinger_lower,401.6254382133484
SMA_50,332.7513163089752
SMA_20,316.2420494556427
EMA_21,224.30548083782196
obv_rising_24h,221.75804805755615
EMA_7,220.53213000297546
vwap_24h,180.6713805794716
bearish_scenario_4,152.1536407470703
macd_rising,127.15871977806091
volatility_regime,76.38243985176086
ema_cross_up,72.44094967842102
bullish_scenario_6,58.51078987121582
above_sma50,55.835320472717285
macd_cross_down,51.713669538497925
macd_cross_up,49.12226939201355
ema7_above_ema21,42.700170040130615
bearish_scenario_6,38.103320598602295
oversold_reversal,36.182197630405426
trend_alignment,33.669189453125
overbought_reversal,32.673149824142456
cci_oversold,29.813400268554688
bullish_scenario_1,29.197229385375977
ema_cross_down,23.60004997253418
stoch_oversold,23.224939823150635
trending_market,19.147170305252075
momentum_alignment,18.233459949493408
cci_overbought,15.571330070495605
stoch_overbought,14.702829837799072
rsi_overbought,12.600589752197266
bullish_scenario_3,10.911590099334717
vol_spike_1_5x,9.538679599761963
near_lower_band,8.370369911193848
volume_breakdown,7.888619899749756
break_upper_band,6.945240020751953
above_sma20,5.8326897621154785
bullish_scenario_2,5.609179973602295
near_upper_band,5.0904998779296875
break_lower_band,2.813999891281128
rsi_oversold,0.0
macd_positive,0.0
volume_breakout,0.0
bullish_scenario_4,0.0
bullish_scenario_5,0.0
bearish_scenario_3,0.0
bearish_scenario_1,0.0
bearish_scenario_2,0.0
