,0
atr_ratio,494
adx,476
roc_4h,471
buying_pressure,461
volume,450
fear_greed_score,421
volume_ratio,419
volume_mean_20,416
rsi_4h,410
stoch_%K,408
roc_24h,383
stoch_%D,376
MACD_histogram,358
CCI,338
RSI,332
parkinson_vol,318
price_vs_vwap,314
true_range,311
bollinger_width,283
OBV,270
atr_14,235
bb_position,232
support_level,95
close,76
resistance_level,76
close_4h,71
bollinger_upper,64
bollinger_lower,55
SMA_50,48
SMA_20,44
EMA_7,34
vwap_24h,34
obv_rising_24h,33
EMA_21,28
macd_rising,17
bearish_scenario_4,16
oversold_reversal,12
macd_cross_down,11
above_sma50,10
ema_cross_up,9
volatility_regime,9
bullish_scenario_6,9
macd_cross_up,8
bearish_scenario_6,8
trend_alignment,7
ema7_above_ema21,7
overbought_reversal,6
ema_cross_down,4
stoch_oversold,4
bullish_scenario_1,3
trending_market,3
momentum_alignment,3
cci_oversold,3
rsi_overbought,2
vol_spike_1_5x,2
stoch_overbought,2
cci_overbought,2
bullish_scenario_3,2
above_sma20,1
break_upper_band,1
break_lower_band,1
bullish_scenario_2,1
volume_breakdown,1
near_lower_band,1
near_upper_band,1
rsi_oversold,0
macd_positive,0
volume_breakout,0
bullish_scenario_4,0
bullish_scenario_5,0
bearish_scenario_3,0
bearish_scenario_1,0
bearish_scenario_2,0
