,0
bb_position,0.02567835335031739
close_4h,0.023090298839419265
stoch_%K,0.015851833879251005
buying_pressure,0.009422135953738456
roc_4h,0.0045290953940716845
rsi_4h,0.0040438351732782945
bullish_scenario_6,0.0018197258279751827
trend_alignment,0.0013749039589145602
volume_ratio,0.0011727122002506511
macd_cross_down,0.00109183549678508
rsi_overbought,0.0006874519794572246
cci_overbought,0.0006065752759916906
bullish_scenario_4,0.00028306846212940623
break_lower_band,0.00028306846212940623
momentum_alignment,0.00016175340693106813
vol_spike_1_5x,0.00016175340693106813
above_sma20,0.0001213150551983011
bearish_scenario_1,4.043835173276703e-05
bollinger_width,4.043835173269302e-05
close,0.0
bollinger_lower,0.0
MACD_histogram,0.0
SMA_20,0.0
EMA_21,0.0
EMA_7,0.0
vwap_24h,0.0
ema7_above_ema21,0.0
bollinger_upper,0.0
ema_cross_up,-3.700743415417188e-17
CCI,-7.401486830834377e-17
ema_cross_down,-4.0438351732804044e-05
bearish_scenario_6,-4.0438351732804044e-05
bullish_scenario_5,-8.087670346560809e-05
parkinson_vol,-8.087670346564509e-05
bullish_scenario_3,-0.00012131505519837511
stoch_oversold,-0.00012131505519837511
volume_breakdown,-0.00012131505519837511
macd_rising,-0.00012131505519841213
rsi_oversold,-0.00016175340693117915
stoch_overbought,-0.00024263011039675023
roc_24h,-0.0002830684621295543
break_upper_band,-0.00036394516559508833
volume,-0.00036394516559508833
price_vs_vwap,-0.0004043835173278924
bullish_scenario_1,-0.0004043835173278924
bearish_scenario_2,-0.0004448218690606594
near_lower_band,-0.0004448218690606594
obv_rising_24h,-0.00044482186906069643
volatility_regime,-0.0005256985725262305
oversold_reversal,-0.0005256985725262675
macd_cross_up,-0.0006470136277245686
bearish_scenario_3,-0.0007278903311901397
overbought_reversal,-0.0008087670346557108
true_range,-0.0008896437381213188
bullish_scenario_2,-0.0009300820898540859
atr_ratio,-0.00101095879331962
trending_market,-0.001051397145052424
OBV,-0.0012131505519835661
stoch_%D,-0.0013344656071819412
support_level,-0.0015366573658458134
fear_greed_score,-0.0015770957175786175
cci_oversold,-0.0016984107727769555
bearish_scenario_4,-0.00202191758663924
volume_breakout,-0.002102794290104774
near_upper_band,-0.002264547697035879
SMA_50,-0.0023049860487686833
macd_positive,-0.0027498079178293056
adx,-0.0027498079178293056
resistance_level,-0.0028306846212948766
atr_14,-0.0038820817663472638
volume_mean_20,-0.0041247118767439766
RSI,-0.004246026931942315
above_sma50,-0.004367341987140653
