,0
bullish_scenario_5,10476.2490234375
oversold_reversal,4490.13037109375
bearish_scenario_1,4181.88232421875
rsi_overbought,3468.08984375
macd_cross_down,3332.351318359375
close_4h,3044.944580078125
bullish_scenario_3,2935.7958984375
bullish_scenario_6,2654.365234375
EMA_21,2613.585693359375
resistance_level,2611.859375
volatility_regime,2575.81982421875
vwap_24h,2574.197265625
price_vs_vwap,2559.894775390625
bearish_scenario_2,2542.183837890625
bollinger_upper,2515.997802734375
macd_cross_up,2500.656494140625
EMA_7,2461.5693359375
OBV,2429.906494140625
roc_4h,2382.181640625
SMA_50,2299.67529296875
break_lower_band,2299.472412109375
RSI,2243.72802734375
atr_ratio,2228.275146484375
vol_spike_1_5x,2217.09423828125
stoch_%K,2193.646728515625
volume_mean_20,2184.6962890625
support_level,2165.06884765625
atr_14,2115.0419921875
volume_breakout,2095.2509765625
bollinger_lower,2051.170166015625
break_upper_band,2030.937744140625
rsi_4h,2026.439208984375
CCI,1985.479248046875
bollinger_width,1982.3199462890625
cci_oversold,1968.5206298828125
stoch_%D,1968.2972412109375
bb_position,1961.828369140625
SMA_20,1960.679931640625
near_lower_band,1951.395751953125
fear_greed_score,1888.4403076171875
parkinson_vol,1848.8575439453125
roc_24h,1799.24462890625
MACD_histogram,1797.8272705078125
bullish_scenario_2,1766.6619873046875
buying_pressure,1737.3931884765625
volume_ratio,1730.9847412109375
bullish_scenario_4,1694.883544921875
true_range,1691.7467041015625
macd_positive,1688.2789306640625
bullish_scenario_1,1563.2801513671875
adx,1503.049072265625
bearish_scenario_4,1407.497802734375
ema_cross_up,1378.8389892578125
volume,1245.2320556640625
bearish_scenario_6,1192.4571533203125
trend_alignment,1142.2412109375
macd_rising,1124.707275390625
overbought_reversal,1109.863525390625
close,1051.4869384765625
ema7_above_ema21,929.665771484375
momentum_alignment,863.4630126953125
volume_breakdown,780.940185546875
ema_cross_down,386.8238830566406
stoch_oversold,282.80010986328125
obv_rising_24h,175.27098083496094
stoch_overbought,150.8811492919922
above_sma50,137.60313415527344
above_sma20,127.02581787109375
bearish_scenario_3,92.9407958984375
near_upper_band,54.01923370361328
trending_market,22.12158203125
cci_overbought,8.866620063781738
rsi_oversold,3.1926968097686768
