,0
buying_pressure,0.010352218043592543
stoch_%K,0.008815560677746803
bb_position,0.005823122649520822
roc_24h,0.005499615835658574
true_range,0.003962958469812798
price_vs_vwap,0.0038012050628816554
CCI,0.0035990133042177463
RSI,0.0027498079178293056
roc_4h,0.0018601641797080608
macd_rising,0.0012940272554491001
rsi_4h,0.0012535889037162962
macd_cross_down,0.001213150551983529
fear_greed_score,0.0011727122002507622
volatility_regime,0.001172712200250725
OBV,0.0007278903311901027
volume_ratio,0.00048526022079338943
volume_breakout,0.00044482186906062243
SMA_50,0.0004043835173278554
bearish_scenario_2,0.00036394516559505136
oversold_reversal,0.00036394516559505136
adx,0.00036394516559505136
macd_cross_up,0.0003235068138622843
stoch_overbought,0.0003235068138622843
macd_positive,0.00024263011039675023
near_lower_band,0.0002021917586639462
above_sma20,0.0002021917586639462
close_4h,0.0002021917586639462
volume_breakdown,0.0002021917586639462
bullish_scenario_4,0.00020219175866390918
EMA_7,0.00016175340693117915
bullish_scenario_5,0.00012131505519837511
ema_cross_up,0.00012131505519837511
break_lower_band,8.087670346560809e-05
bearish_scenario_4,8.087670346557108e-05
bullish_scenario_1,8.087670346557108e-05
above_sma50,8.087670346557108e-05
bearish_scenario_1,4.0438351732804044e-05
stoch_oversold,4.0438351732804044e-05
bearish_scenario_3,4.0438351732804044e-05
ema_cross_down,3.700743415417188e-17
close,0.0
rsi_oversold,0.0
trending_market,0.0
SMA_20,0.0
EMA_21,0.0
near_upper_band,0.0
cci_overbought,0.0
resistance_level,0.0
support_level,0.0
atr_ratio,0.0
rsi_overbought,-4.043835173276703e-05
bullish_scenario_2,-4.043835173276703e-05
volume,-8.087670346553406e-05
bearish_scenario_6,-8.087670346557108e-05
bollinger_upper,-0.0001213150551983011
ema7_above_ema21,-0.00020219175866390918
vwap_24h,-0.00024263011039667623
break_upper_band,-0.00024263011039667623
overbought_reversal,-0.0002830684621294803
bullish_scenario_6,-0.0003235068138622103
vol_spike_1_5x,-0.0003235068138622103
cci_oversold,-0.0004043835173277814
obv_rising_24h,-0.00044482186906062243
momentum_alignment,-0.00048526022079338943
bullish_scenario_3,-0.00048526022079338943
volume_mean_20,-0.0005256985725261565
parkinson_vol,-0.0006874519794573356
MACD_histogram,-0.0014153423106474012
trend_alignment,-0.0014153423106474012
bollinger_width,-0.0017388491245096855
bollinger_lower,-0.00206235593837197
stoch_%D,-0.0036798900076832433
atr_14,-0.004569533745804488
