,0
buying_pressure,0.10149579
stoch_%K,0.08585173
atr_ratio,0.060779672
rsi_4h,0.056477837
OBV,0.055336032
roc_4h,0.04827007
parkinson_vol,0.045570206
CCI,0.04540702
RSI,0.043151163
volume_mean_20,0.042957116
price_vs_vwap,0.041296955
volume,0.038924024
bb_position,0.038567744
atr_14,0.03671154
MACD_histogram,0.03606452
stoch_%D,0.034591306
roc_24h,0.03284777
volume_ratio,0.031832345
adx,0.031799167
fear_greed_score,0.031042116
support_level,0.030208988
bollinger_width,0.020948546
true_range,0.02079247
resistance_level,0.01954202
close_4h,0.017586015
vwap_24h,0.017446619
SMA_20,0.016984168
EMA_7,0.01374123
bearish_scenario_4,0.012099645
macd_rising,0.011123683
bollinger_lower,0.01088128
SMA_50,0.0090580145
EMA_21,0.008796181
close,0.007478295
bollinger_upper,0.0060482435
macd_cross_down,0.005656872
trend_alignment,0.005591586
volatility_regime,0.004603867
obv_rising_24h,0.0035875854
near_lower_band,0.003462238
ema7_above_ema21,0.0024672823
macd_positive,0.002229973
break_lower_band,0.0021877817
momentum_alignment,0.0018458021
vol_spike_1_5x,0.00183825
overbought_reversal,0.0018044815
bullish_scenario_6,0.0017574567
macd_cross_up,0.0016704206
cci_oversold,0.001473245
oversold_reversal,0.0014284957
bearish_scenario_6,0.0012544974
above_sma50,0.0010090496
rsi_overbought,0.00095381594
break_upper_band,0.00088693015
above_sma20,0.00085618696
stoch_overbought,0.0007983174
bearish_scenario_2,0.0006541628
bullish_scenario_3,0.00048594695
ema_cross_down,0.0003987202
volume_breakdown,0.00036505397
stoch_oversold,0.00036491177
volume_breakout,0.0003374763
ema_cross_up,0.0003330549
bullish_scenario_1,0.00021912929
trending_market,0.0001781917
near_upper_band,0.00014201774
bullish_scenario_4,8.1125116e-05
bullish_scenario_2,7.723123e-05
bullish_scenario_5,5.3362783e-05
bearish_scenario_3,4.7244957e-05
bearish_scenario_1,4.343419e-05
cci_overbought,2.0960877e-05
rsi_oversold,6.768646e-06
