,0
adx,460.0
fear_greed_score,442.0
buying_pressure,415.0
volume_ratio,411.0
stoch_%D,401.0
roc_4h,399.0
atr_ratio,396.0
CCI,376.0
volume_mean_20,371.0
roc_24h,364.0
parkinson_vol,364.0
volume,356.0
rsi_4h,355.0
stoch_%K,345.0
RSI,323.0
price_vs_vwap,315.0
MACD_histogram,308.0
true_range,274.0
OBV,262.0
bollinger_width,224.0
atr_14,212.0
bb_position,211.0
close,122.0
support_level,97.0
resistance_level,72.0
EMA_7,60.0
close_4h,59.0
SMA_50,54.0
bollinger_upper,54.0
bollinger_lower,50.0
EMA_21,41.0
SMA_20,39.0
macd_rising,26.0
vwap_24h,23.0
obv_rising_24h,22.0
bearish_scenario_4,20.0
macd_cross_down,19.0
trend_alignment,16.0
volatility_regime,12.0
overbought_reversal,11.0
ema_cross_up,10.0
bullish_scenario_6,10.0
bullish_scenario_3,9.0
ema7_above_ema21,8.0
above_sma50,7.0
momentum_alignment,7.0
bearish_scenario_2,7.0
oversold_reversal,7.0
macd_cross_up,7.0
bullish_scenario_1,6.0
bearish_scenario_6,5.0
ema_cross_down,5.0
vol_spike_1_5x,5.0
break_lower_band,5.0
break_upper_band,4.0
macd_positive,4.0
trending_market,3.0
volume_breakdown,3.0
volume_breakout,3.0
above_sma20,3.0
rsi_overbought,2.0
bullish_scenario_5,2.0
cci_oversold,2.0
stoch_overbought,2.0
near_lower_band,2.0
bullish_scenario_2,2.0
bullish_scenario_4,2.0
rsi_oversold,1.0
stoch_oversold,1.0
cci_overbought,1.0
near_upper_band,1.0
bearish_scenario_3,1.0
bearish_scenario_1,1.0
