,lr_l1_coef,lr_l1_perm
close,0.0,0.0
volume,0.026980256674087683,0.004021879021878967
EMA_7,0.0,0.0
EMA_21,0.0,0.0
SMA_20,0.031727341514885134,0.0009652509652509448
SMA_50,0.0,0.0
RSI,0.0937262058488147,0.00305662805662806
MACD_histogram,0.05036110253431223,-0.0017696267696268124
OBV,0.04954965751440578,0.0003217503217502656
bollinger_width,0.028475205506005685,-0.00032175032175033963
CCI,0.0005035470189068864,-0.0009652509652510188
stoch_%K,0.07657167326722111,0.023648648648648612
stoch_%D,0.0,0.0
true_range,0.04545264774409886,0.002574002574002532
atr_14,0.024432881769333926,-0.0028957528957529455
atr_ratio,0.002561005565038265,0.0006435006435006052
parkinson_vol,0.013290727888174392,0.0006435006435006052
vwap_24h,0.0,0.0
price_vs_vwap,0.1253550132045557,0.0033783783783783625
volume_mean_20,0.009815431747951202,0.0001608751608751143
volume_ratio,0.0013614734793262492,-0.0009652509652509819
vol_spike_1_5x,0.015051932347472681,-0.0006435006435007162
buying_pressure,0.06520068015745364,0.014478764478764469
adx,0.03765281771380762,0.0004826254826254539
trending_market,0.029980357830291817,0.007400257400257367
volatility_regime,0.0,0.0
fear_greed_score,0.03522847734159321,0.00498712998712995
roc_4h,0.08988122868977591,0.010135135135135087
roc_24h,0.08962108378749259,-3.700743415417188e-17
bb_position,0.07347214704885364,-0.002091377091377152
near_upper_band,0.007967295127077686,-0.00032175032175033963
near_lower_band,0.038171885732939254,0.007882882882882858
break_upper_band,0.0,0.0
break_lower_band,0.0,0.0
rsi_overbought,0.015929300892824075,-0.0003217503217503766
rsi_oversold,0.0027910654928002794,-0.0006435006435006793
above_sma20,0.0766472082448333,0.0207528957528957
above_sma50,0.006403823457145212,-0.0009652509652510188
ema7_above_ema21,0.025694529303260716,0.002734877734877683
ema_cross_up,0.0014158539139009516,-3.700743415417188e-17
ema_cross_down,0.0005863158163927613,-0.0001608751608751883
macd_cross_up,0.00035840287105698984,0.0
macd_cross_down,0.02138100089489272,0.0014478764478763988
macd_positive,0.00889765362984709,-0.0022522522522523034
macd_rising,0.06623288592941494,0.0001608751608751143
obv_rising_24h,0.005390766456785286,0.0019305019305018527
stoch_overbought,0.016376936871584896,0.0014478764478763988
stoch_oversold,0.009629667977485643,0.0033783783783783252
cci_overbought,0.0432457056664498,0.004826254826254798
cci_oversold,0.033126485759853885,0.004343629343629307
oversold_reversal,0.024628107152287994,-0.004182754182754193
overbought_reversal,0.006944711328384746,0.0004826254826254539
momentum_alignment,0.007220546473606882,-0.003217503217503248
volume_breakout,0.0,0.0
volume_breakdown,0.0,0.0
resistance_level,0.0,0.0
support_level,0.0,0.0
trend_alignment,0.020967259757901795,0.0001608751608751143
