number,value,datetime_start,datetime_complete,duration,params_act,params_arch,params_batch,params_conv_blocks,params_conv_drop,params_dense,params_dropout,params_filters,params_kernel,params_l2,params_lr,params_lstm_drop,params_pool,params_units,params_window,user_attrs_precision,user_attrs_recall,state
0,-0.3833025830258303,2025-06-11 10:17:09.260347,2025-06-11 10:18:00.675009,0 days 00:00:51.414662,relu,lstm_conv,32,1,0.006175348288740734,32,0.07336180394137352,32,2,8.179499475211674e-06,0.00042861395747190753,0.29097295564859826,gap,32,42,0.5177570093457944,0.3392529087568892,COMPLETE
1,-0.3943950786056049,2025-06-11 10:18:00.816009,2025-06-11 10:19:30.791948,0 days 00:01:29.975939,relu,conv_lstm,32,1,0.24251920443493832,64,0.048815293937911536,64,2,3.058656666978529e-05,5.7559630341653564e-05,0.0913841307520112,gap,96,30,0.5193519351935193,0.3520439292251373,COMPLETE
2,-0.26258714175058095,2025-06-11 10:19:30.955947,2025-06-11 10:20:42.291557,0 days 00:01:11.335610,relu,conv_lstm,64,2,0.1166031869068446,32,0.2170784332632994,64,2,2.6471141828218185e-06,0.001334742744357615,0.08140470953216877,gap,96,48,0.551219512195122,0.20810313075506445,COMPLETE
3,-0.5690157251019219,2025-06-11 10:20:42.469557,2025-06-11 10:21:03.566133,0 days 00:00:21.096576,elu,lstm_conv,64,1,0.09755499660802411,64,0.04783769837532068,64,4,0.00013795402040204168,0.0011265770241195591,0.21888185350141923,gmp,32,12,0.5283937263385614,0.5917625681405209,COMPLETE
4,-0.20291777188328916,2025-06-11 10:21:03.742657,2025-06-11 10:22:03.866620,0 days 00:01:00.123963,elu,lstm_conv,32,1,0.0869254358741304,32,0.3485842360750871,48,3,0.0002576417442523316,0.00010732966845902337,0.04836638617620132,gmp,32,24,0.529045643153527,0.1551094890510949,COMPLETE
5,0.6994701623916626,2025-06-11 10:22:04.047619,2025-06-11 10:22:14.064612,0 days 00:00:10.016993,elu,lstm_conv,32,1,0.09696087960622657,128,0.3849789179768445,48,2,5.6930747676446135e-06,0.00038295968463925045,0.1556371865230098,gmp,96,48,,,PRUNED
6,-0.6930981332419935,2025-06-11 10:22:14.275611,2025-06-11 10:22:37.639145,0 days 00:00:23.363534,relu,conv_lstm,64,2,0.11033493981577597,32,0.3341209982356952,48,4,9.169384722192327e-06,0.00010730701814318377,0.18969174917807383,gmp,32,18,0.5300589390962672,0.8190649666059502,COMPLETE
7,0.7143716216087341,2025-06-11 10:22:37.834145,2025-06-11 10:22:42.881135,0 days 00:00:05.046990,elu,lstm_conv,32,2,0.1979952138102537,32,0.03724110712235969,32,2,0.0004916400722913762,0.001995489737195091,0.24516666006036475,gmp,32,24,,,PRUNED
8,0.6997974514961243,2025-06-11 10:22:43.106135,2025-06-11 10:22:46.587128,0 days 00:00:03.480993,relu,conv_lstm,64,1,0.16462013680997584,128,0.09489963499872003,32,2,9.466710461838324e-06,0.0010625383887335838,0.20756855930780796,gap,32,18,,,PRUNED
9,0.6962960958480835,2025-06-11 10:22:46.802170,2025-06-11 10:22:49.784122,0 days 00:00:02.981952,relu,lstm_conv,32,2,0.2167356345784516,64,0.37618343374116575,32,4,0.0007274208264938345,0.0021170799723773874,0.08423170873225673,gmp,32,24,,,PRUNED
10,0.6915819048881531,2025-06-11 10:22:49.993122,2025-06-11 10:22:52.548116,0 days 00:00:02.554994,relu,conv_lstm,64,2,0.011617559988354897,32,0.2684523145098048,48,5,1.0887633888418055e-06,0.00015783577467808424,0.004678439897536829,gmp,64,12,,,PRUNED
11,0.6970804333686829,2025-06-11 10:22:52.769116,2025-06-11 10:22:55.500111,0 days 00:00:02.730995,elu,conv_lstm,64,2,0.062141647199708015,64,0.15099771415420712,64,4,7.637106304017801e-05,0.0005051649527460574,0.20686098033619257,gmp,64,12,,,PRUNED
12,0.6955722570419312,2025-06-11 10:22:55.735110,2025-06-11 10:22:57.863106,0 days 00:00:02.127996,elu,lstm_conv,64,2,0.28846612458069887,64,0.2390697404575936,64,5,5.23315123826853e-05,0.0001965486819552988,0.16137689466104865,gmp,32,12,,,PRUNED
13,0.6969832181930542,2025-06-11 10:22:58.100106,2025-06-11 10:23:00.753304,0 days 00:00:02.653198,elu,conv_lstm,64,1,0.13473508092536218,64,0.15445956693437188,48,4,0.00013116452991056198,5.4470014229775065e-05,0.21128929127763746,gmp,32,18,,,PRUNED
14,-0.5379017586416011,2025-06-11 10:23:00.993303,2025-06-11 10:23:34.590872,0 days 00:00:33.597569,relu,lstm_conv,64,1,0.06251596078317825,128,0.2958319806087282,64,3,2.1219726725756725e-05,0.001006800467800324,0.27043981128442524,gmp,32,36,0.5301852958756724,0.5418448381185095,COMPLETE
15,0.7094476222991943,2025-06-11 10:23:34.846871,2025-06-11 10:23:40.463237,0 days 00:00:05.616366,elu,conv_lstm,64,2,0.16004375183819153,32,0.00844851335067956,48,4,0.0001558823623346371,0.000268166152914749,0.17986088553460575,gmp,64,18,,,PRUNED
16,0.6893692016601562,2025-06-11 10:23:40.732236,2025-06-11 10:23:46.902192,0 days 00:00:06.169956,elu,conv_lstm,64,2,0.054459805785115854,64,0.15410403326792274,64,5,2.2264646896052007e-05,0.0006896383053214394,0.24721802127499565,gmp,32,30,,,PRUNED
17,-0.542719614921781,2025-06-11 10:23:47.188191,2025-06-11 10:24:19.245925,0 days 00:00:32.057734,relu,lstm_conv,64,1,0.13064749700519257,32,0.32572811141905544,48,3,2.169368034967866e-06,0.002969082239131711,0.13066035975670925,gmp,32,18,0.533096926713948,0.5476624165148756,COMPLETE
18,0.7012950778007507,2025-06-11 10:24:19.519924,2025-06-11 10:24:24.555914,0 days 00:00:05.035990,relu,conv_lstm,64,2,0.19020389777211646,64,0.10463986600902386,48,4,1.3627339394808825e-05,9.427923185245906e-05,0.1254834251801193,gap,96,12,,,PRUNED
19,0.7589260339736938,2025-06-11 10:24:24.845914,2025-06-11 10:24:30.529650,0 days 00:00:05.683736,elu,lstm_conv,64,1,0.09778673814397795,128,0.19349816491454752,64,3,6.032811875602374e-05,0.0007248202414854662,0.23805538455367953,gmp,64,30,,,PRUNED
20,0.7170960903167725,2025-06-11 10:24:30.836156,2025-06-11 10:24:35.113063,0 days 00:00:04.276907,relu,lstm_conv,64,2,0.04676167630701983,32,0.29472020583353087,64,5,0.00031027466655641193,0.00028937182030855076,0.18356970162398775,gmp,32,18,,,PRUNED
21,-0.6527285613040397,2025-06-11 10:24:35.418161,2025-06-11 10:25:00.164041,0 days 00:00:24.745880,relu,lstm_conv,64,1,0.13964609302145137,32,0.3325954678794782,48,3,3.275228316868659e-06,0.0029484817139159925,0.11845807770452996,gmp,32,18,0.5225531914893617,0.7455980570734669,COMPLETE
22,0.6877910494804382,2025-06-11 10:25:00.463042,2025-06-11 10:25:04.991878,0 days 00:00:04.528836,relu,lstm_conv,64,1,0.15405473200398745,32,0.3380977391180705,48,3,4.124299927238198e-06,0.001600537358687518,0.1364542387857856,gmp,32,24,,,PRUNED
23,0.6924688816070557,2025-06-11 10:25:05.310878,2025-06-11 10:25:08.986871,0 days 00:00:03.675993,relu,lstm_conv,64,1,0.11528124779872753,32,0.39789680447653025,48,4,1.1183713484599446e-06,0.002464166271301416,0.10442386019656111,gmp,32,12,,,PRUNED
24,-0.5943609022556391,2025-06-11 10:25:09.305870,2025-06-11 10:25:40.868444,0 days 00:00:31.562574,relu,lstm_conv,64,1,0.18186154866025117,32,0.26429479628392255,48,4,3.1674705757621533e-06,0.0007167369590473246,0.181785857769061,gmp,32,18,0.5202369200394866,0.6399514268366727,COMPLETE
25,0.6877940893173218,2025-06-11 10:25:41.180444,2025-06-11 10:25:45.632656,0 days 00:00:04.452212,relu,lstm_conv,64,1,0.184853716888566,32,0.26614136157641854,48,3,2.583945923994424e-06,0.00010786391752832801,0.17237548351630444,gmp,32,24,,,PRUNED
26,0.690540611743927,2025-06-11 10:25:45.965655,2025-06-11 10:25:51.308644,0 days 00:00:05.342989,relu,conv_lstm,64,1,0.24378189295268665,32,0.3204115494243912,48,4,4.9489101812587395e-06,0.00018225248717105763,0.04856817114928896,gap,32,36,,,PRUNED
27,0.6864163279533386,2025-06-11 10:25:51.651645,2025-06-11 10:25:55.866191,0 days 00:00:04.214546,relu,lstm_conv,64,1,0.21349909592016786,32,0.36087192286616104,48,3,1.7135263493811267e-06,0.0006542873157594868,0.1927077252037465,gmp,32,18,,,PRUNED
28,-0.499896244034032,2025-06-11 10:25:56.210192,2025-06-11 10:26:27.601579,0 days 00:00:31.391387,relu,conv_lstm,64,2,0.17151887989321224,32,0.3007336185563207,48,4,1.2367560978767533e-05,7.460186669813444e-05,0.1089993120979892,gmp,64,18,0.5265573770491804,0.48755312689738917,COMPLETE
29,0.6864041090011597,2025-06-11 10:26:27.941577,2025-06-11 10:26:32.028570,0 days 00:00:04.086993,relu,lstm_conv,32,1,0.14465217884670048,32,0.26628054871258455,32,5,6.9601043076289424e-06,0.0004316980759898553,0.2732482431362776,gap,96,24,,,PRUNED
