number,value,datetime_start,datetime_complete,duration,params_act,params_arch,params_batch,params_conv_blocks,params_conv_drop,params_dense,params_dropout,params_filters,params_kernel,params_l2,params_lr,params_lstm_drop,params_optim,params_pool,params_units,params_window,user_attrs_precision,user_attrs_recall,state
0,-0.45369753497668225,2025-06-11 10:39:11.902110,2025-06-11 10:39:58.633124,0 days 00:00:46.731014,elu,lstm_conv,128,2,0.05454749016213018,64,0.11649165607921677,128,5,6.847920095574779e-05,8.851384099881297e-05,0.055021352956030146,nadam,gmp,96,60,0.5409054805401112,0.4198520345252774,COMPLETE
1,-0.43552690084481993,2025-06-11 10:39:59.133123,2025-06-11 10:40:29.562578,0 days 00:00:30.429455,relu,conv_lstm,128,1,0.16401308380298388,32,0.35793094017105953,48,2,6.218704727769077e-05,0.0021787220464104273,0.05545633665765811,nadam,gmp,32,30,0.5352459016393443,0.3984136668700427,COMPLETE
2,-0.5444579780755177,2025-06-11 10:40:30.074577,2025-06-11 10:43:33.132411,0 days 00:03:03.057834,relu,lstm_conv,64,1,0.09926940745579475,128,0.25502298854208527,64,6,0.0004588156549160974,0.000345652389857876,0.01906750508580709,nadam,gmp,128,60,0.5315101070154578,0.5511713933415536,COMPLETE
3,-0.6455766047452639,2025-06-11 10:43:33.705410,2025-06-11 10:44:01.421356,0 days 00:00:27.715946,elu,lstm_conv,128,1,0.24110162306973432,32,0.3584365199693973,64,3,8.995191735587168e-06,7.846192726793281e-05,0.05597101766581075,adamw,gmp,64,66,0.5325443786982249,0.7222222222222222,COMPLETE
4,-0.015412511332728923,2025-06-11 10:44:01.954355,2025-06-11 10:44:40.118045,0 days 00:00:38.163690,relu,lstm_conv,32,1,0.2724797657899961,128,0.09682210860460017,32,3,0.00010385003379927417,0.0011304331263607352,0.07186856720009173,nadam,gap,64,30,0.5483870967741935,0.010372178157413058,COMPLETE
5,0.6921942830085754,2025-06-11 10:44:40.637044,2025-06-11 10:44:50.781024,0 days 00:00:10.143980,elu,conv_lstm,16,2,0.07738248831454668,32,0.09674091636018067,96,7,1.902428324748959e-06,0.001969497011745637,0.1979952138102537,nadam,gmp,128,42,,,PRUNED
6,0.6915355324745178,2025-06-11 10:44:51.335023,2025-06-11 10:44:58.577333,0 days 00:00:07.242310,relu,conv_lstm,16,1,0.1948898697141644,32,0.1470863212237734,128,5,6.24607368131809e-06,0.00013577521331829283,0.2547670231482534,adam,gmp,192,18,,,PRUNED
7,-0.47227658186562305,2025-06-11 10:44:59.142332,2025-06-11 10:46:15.803898,0 days 00:01:16.661566,relu,conv_lstm,32,1,0.25534100145505706,128,0.2784119186699892,32,4,5.130781383387442e-05,7.44328260046302e-05,0.0950766015468833,nadam,gap,32,72,0.5296269202633505,0.44801980198019803,COMPLETE
8,0.7174326777458191,2025-06-11 10:46:16.369897,2025-06-11 10:46:28.446873,0 days 00:00:12.076976,relu,lstm_conv,64,2,0.13967940543973803,64,0.014939275499685767,48,7,0.00029363084977630154,0.00021849597634163043,0.16279339041227298,nadam,gap,128,42,,,PRUNED
9,0.697993814945221,2025-06-11 10:46:29.035873,2025-06-11 10:46:41.988847,0 days 00:00:12.952974,elu,conv_lstm,128,2,0.16476799941183615,128,0.2951587666783074,128,7,4.6032245160252616e-05,0.0006119303790819647,0.21437877681001868,adam,gmp,32,60,,,PRUNED
